date,nav,div
2019-03-26,12549,0
2019-03-27,12661,0
2019-03-28,12592,0
2019-03-29,12693,0
2019-04-01,12788,0
2019-04-02,12969,0
2019-04-03,13001,0
2019-04-04,13063,0
2019-04-05,13096,0
2019-04-08,13101,0
2019-04-09,13119,0
2019-04-10,13024,0
2019-04-11,13060,0
2019-04-12,13141,0
2019-04-15,13249,0
2019-04-16,13247,0
2019-04-17,13274,0
2019-04-18,13246,0
2019-04-19,13249,0
2019-04-22,13247,0
2019-04-23,13239,0
2019-04-24,13337,0
2019-04-25,13330,0
2019-04-26,13260,0
2019-05-07,13145,0
2019-05-08,12891,0
2019-05-09,12857,0
2019-05-10,12774,0
2019-05-13,12808,0
2019-05-14,12514,0
2019-05-15,12628,0
2019-05-16,12687,0
2019-05-17,12859,0
2019-05-20,12815,0
2019-05-21,12735,0
2019-05-22,12867,0
2019-05-23,12806,0
2019-05-24,12593,0
2019-05-27,12611,0
2019-05-28,12623,0
2019-05-29,12506,0
2019-05-30,12427,0
2019-05-31,12421,0
2019-06-03,12187,0
2019-06-04,12141,0
2019-06-05,12371,0
2019-06-06,12476,0
2019-06-07,12560,0
2019-06-10,12698,0
2019-06-11,12750,0
2019-06-12,12786,0
2019-06-13,12732,0
2019-06-14,12762,0
2019-06-17,12741,0
2019-06-18,12742,0
2019-06-19,12877,0
2019-06-20,12852,0
2019-06-21,12919,0
2019-06-24,12915,0
2019-06-25,12880,0
2019-06-26,12781,0
2019-06-27,12812,0
2019-06-28,12865,0
2019-07-01,12988,0
2019-07-02,13089,0
2019-07-03,13042,0
2019-07-04,13158,0
2019-07-05,13174,0
2019-07-08,13196,0
2019-07-09,13174,0
2019-07-10,13188,0
2019-07-11,13147,0
2019-07-12,13203,0
2019-07-16,13189,0
2019-07-17,13194,0
2019-07-18,13077,0
2019-07-19,13079,0
2019-07-22,13066,0
2019-07-23,13096,0
2019-07-24,13194,0
2019-07-25,13240,0
2019-07-26,13233,0
2019-07-29,13269,0
2019-07-30,13306,0
2019-07-31,13213,0
2019-08-01,13155,0
2019-08-02,12841,0
2019-08-05,12608,0
2019-08-06,12232,0
2019-08-07,12346,0
2019-08-08,12357,0
2019-08-09,12573,0
2019-08-13,12300,0
2019-08-14,12544,0
2019-08-15,12184,0
2019-08-16,12192,0
2019-08-19,12391,0
2019-08-20,12560,0
2019-08-21,12445,0
2019-08-22,12579,0
2019-08-23,12561,0
2019-08-26,12137,0
2019-08-27,12305,0
2019-08-28,12280,0
2019-08-29,12363,0
2019-08-30,12551,0
2019-09-02,12528,0
2019-09-03,12546,0
2019-09-04,12439,0
2019-09-05,12650,0
2019-09-06,12870,0
2019-09-09,12873,0
2019-09-10,12931,0
2019-09-11,12963,0
2019-09-12,13100,0
2019-09-13,13166,0
2019-09-17,13112,0
2019-09-18,13151,0
2019-09-19,13163,0
2019-09-20,13149,0
2019-09-24,13025,0
2019-09-25,12879,0
2019-09-26,12969,0
2019-09-27,12971,0
2019-09-30,12953,0
2019-10-01,13026,0
2019-10-02,12832,0
2019-10-03,12509,0
2019-10-04,12554,0
2019-10-07,12692,0
2019-10-08,12745,0
2019-10-09,12537,0
2019-10-10,12662,0
2019-10-11,12849,0
2019-10-15,13034,0
2019-10-16,13194,0
2019-10-17,13192,0
2019-10-18,13228,0
2019-10-21,13164,0
2019-10-23,13196,0
2019-10-24,13258,0
2019-10-25,13303,0
2019-10-28,13353,0
2019-10-29,13443,0
2019-10-30,13416,0
2019-10-31,13466,0
2019-11-01,13314,0
2019-11-05,13588,0
2019-11-06,13606,0
2019-11-07,13597,0
2019-11-08,13698,0
2019-11-11,13677,0
2019-11-12,13665,0
2019-11-13,13657,0
2019-11-14,13631,0
2019-11-15,13611,0
2019-11-18,13741,0
2019-11-19,13714,0
2019-11-20,13721,0
2019-11-21,13644,0
2019-11-22,13645,0
2019-11-25,13686,0
2019-11-26,13823,0
2019-11-27,13862,0
2019-11-28,13947,0
2019-11-29,13966,0
2019-12-02,13923,0
2019-12-03,13742,0
2019-12-04,13577,0
2019-12-05,13708,0
2019-12-06,13717,0
2019-12-09,13807,0
2019-12-10,13778,0
2019-12-11,13777,0
2019-12-12,13801,0
2019-12-13,14053,0
2019-12-16,14051,0
2019-12-17,14188,0
2019-12-18,14173,0
2019-12-19,14185,0
2019-12-20,14196,0
2019-12-23,14255,0
2019-12-24,14276,0
2019-12-25,14263,0
2019-12-26,14297,0
2019-12-27,14369,0
2019-12-30,14387,0
2020-01-06,14174,0
2020-01-07,14249,0
2020-01-08,14144,0
2020-01-09,14369,0
2020-01-10,14495,0
2020-01-14,14627,0
2020-01-15,14596,0
2020-01-16,14628,0
2020-01-17,14772,0
2020-01-20,14809,0
2020-01-21,14813,0
2020-01-22,14727,0
2020-01-23,14709,0
2020-01-24,14668,0
2020-01-27,14523,0
2020-01-28,14253,0
2020-01-29,14408,0
2020-01-30,14396,0
2020-01-31,14404,0
2020-02-03,14126,0
2020-02-04,14206,0
2020-02-05,14533,0
2020-02-06,14720,0
2020-02-07,14783,0
2020-02-10,14668,0
2020-02-12,14820,0
2020-02-13,14911,0
2020-02-14,14886,0
2020-02-17,14896,0
2020-02-18,14909,0
2020-02-19,14867,0
2020-02-20,15136,0
2020-02-21,15177,0
2020-02-25,14401,0
2020-02-26,13951,0
2020-02-27,13899,0
2020-02-28,13271,0
2020-03-02,12859,0
2020-03-03,13372,0
2020-03-04,13054,0
2020-03-05,13493,0
2020-03-06,12998,0
2020-03-09,12228,0
2020-03-10,11432,0
2020-03-11,11977,0
2020-03-12,11465,0
2020-03-13,10349,0
2020-03-16,11267,0
2020-03-17,10079,0
2020-03-18,10611,0
2020-03-19,10169,0
2020-03-23,10141,0
2020-03-24,9825,0
2020-03-25,10772,0
2020-03-26,10976,0
2020-03-27,11376,0
2020-03-30,10875,0
2020-03-31,11273,0
2020-04-01,11085,0
2020-04-02,10619,0
2020-04-03,10843,0
2020-04-06,10769,0
2020-04-07,11446,0
2020-04-08,11462,0
2020-04-09,11797,0
2020-04-10,11944,0
2020-04-13,11906,0
2020-04-14,11761,0
2020-04-15,12007,0
2020-04-16,11749,0
2020-04-17,11834,0
2020-04-20,12145,0
2020-04-21,11985,0
2020-04-22,11611,0
2020-04-23,11847,0
2020-04-24,11851,0
2020-04-27,11946,0
2020-04-28,12118,0
2020-04-30,12378,0
2020-05-01,12290,0
2020-05-07,11906,0
2020-05-08,12077,0
2020-05-11,12322,0
2020-05-12,12370,0
2020-05-13,12158,0
2020-05-14,11906,0
2020-05-15,12006,0
2020-05-18,12029,0
2020-05-19,12456,0
2020-05-20,12449,0
2020-05-21,12608,0
2020-05-22,12510,0
2020-05-25,12495,0
2020-05-26,12560,0
2020-05-27,12708,0
2020-05-28,12917,0
2020-05-29,12908,0
2020-06-01,12945,0
2020-06-02,13024,0
2020-06-03,13315,0
2020-06-04,13550,0
2020-06-05,13552,0
2020-06-08,13926,0
2020-06-09,13869,0
2020-06-10,13733,0
2020-06-11,13589,0
2020-06-12,12800,0
2020-06-15,12980,0
2020-06-16,13091,0
2020-06-17,13348,0
2020-06-18,13267,0
2020-06-19,13264,0
2020-06-22,13201,0
2020-06-23,13301,0
2020-06-24,13339,0
2020-06-25,13049,0
2020-06-26,13170,0
2020-06-29,12946,0
2020-06-30,13155,0
2020-07-01,13365,0
2020-07-02,13351,0
2020-07-03,13470,0
2020-07-06,13470,0
2020-07-07,13654,0
2020-07-08,13560,0
2020-07-09,13596,0
2020-07-10,13483,0
2020-07-13,13583,0
2020-07-14,13570,0
2020-07-15,13709,0
2020-07-16,13823,0
2020-07-17,13798,0
2020-07-20,13880,0
2020-07-21,13975,0
2020-07-22,13981,0
2020-07-27,13649,0
2020-07-28,13691,0
2020-07-29,13592,0
2020-07-30,13734,0
2020-07-31,13594,0
2020-08-03,13798,0
2020-08-04,13934,0
2020-08-05,13929,0
2020-08-06,14020,0
2020-08-07,14067,0
2020-08-11,14145,0
2020-08-12,14169,0
2020-08-13,14400,0
2020-08-14,14407,0
2020-08-17,14317,0
2020-08-18,14292,0
2020-08-19,14236,0
2020-08-20,14301,0
2020-08-21,14264,0
2020-08-24,14284,0
2020-08-25,14463,0
2020-08-26,14568,0
2020-08-27,14641,0
2020-08-28,14733,0
2020-08-31,14637,0
2020-09-01,14687,0
2020-09-02,14775,0
2020-09-03,14991,0
2020-09-04,14539,0
2020-09-07,14417,0
2020-09-08,14452,0
2020-09-09,14050,0
2020-09-10,14361,0
2020-09-11,14158,0
2020-09-14,14169,0
2020-09-15,14272,0
2020-09-16,14306,0
2020-09-17,14212,0
2020-09-18,14089,0
2020-09-23,13850,0
2020-09-24,13653,0
2020-09-25,13663,0
2020-09-28,13802,0
2020-09-29,14044,0
2020-09-30,14058,0
2020-10-01,14089,0
2020-10-02,14175,0
2020-10-05,14079,0
2020-10-06,14334,0
2020-10-07,14173,0
2020-10-08,14427,0
2020-10-09,14531,0
2020-10-12,14616,0
2020-10-13,14762,0
2020-10-14,14684,0
2020-10-15,14587,0
2020-10-16,14506,0
2020-10-19,14550,0
2020-10-20,14408,0
2020-10-21,14435,0
2020-10-22,14267,0
2020-10-23,14316,0
2020-10-26,14385,0
2020-10-27,14141,0
2020-10-28,14022,0
2020-10-29,13549,0
2020-10-30,13665,0
2020-11-02,13534,0
2020-11-04,13971,0
2020-11-05,14231,0
2020-11-06,14438,0
2020-11-09,14408,0
2020-11-10,14875,0
2020-11-11,14889,0
2020-11-12,15054,0
2020-11-13,14857,0
2020-11-16,14969,0
2020-11-17,15120,0
2020-11-18,15024,0
2020-11-19,14894,0
2020-11-20,14935,0
2020-11-24,15048,0
2020-11-25,15269,0
2020-11-26,15252,0
2020-11-27,15214,0
2020-11-30,15241,0
2020-12-01,15195,0
2020-12-02,15388,0
2020-12-03,15435,0
2020-12-04,15363,0
2020-12-07,15523,0
2020-12-08,15505,0
2020-12-09,15564,0
2020-12-10,15474,0
2020-12-11,15452,0
2020-12-14,15409,0
2020-12-15,15405,0
2020-12-16,15498,0
2020-12-17,15516,0
2020-12-18,15601,0
2020-12-21,15566,0
2020-12-22,15445,0
2020-12-23,15496,0
2020-12-24,15543,0
2020-12-25,15557,0
2020-12-28,15581,0
2020-12-29,15723,0
2020-12-30,15679,0
2021-01-04,15669,0
2021-01-05,15550,0
2021-01-06,15589,0
2021-01-07,15743,0
2021-01-08,16067,0
2021-01-12,16085,0
2021-01-13,16035,0
2021-01-14,16089,0
2021-01-15,16056,0
2021-01-18,15907,0
2021-01-19,15901,0
2021-01-20,16045,0
2021-01-21,16181,0
2021-01-22,16185,0
2021-01-25,16173,0
2021-01-26,16167,0
2021-01-27,16144,0
2021-01-28,15839,0
2021-01-29,16003,0
2021-02-01,15745,0
2021-02-02,16000,0
2021-02-03,16243,0
2021-02-04,16261,0
2021-02-05,16476,0
2021-02-08,16563,0
2021-02-09,16625,0
2021-02-10,16546,0
2021-02-12,16610,0
2021-02-15,16755,0
2021-02-16,16871,0
2021-02-17,16950,0
2021-02-18,16833,0
2021-02-19,16761,0
2021-02-22,16748,0
2021-02-24,16609,0
2021-02-25,16854,0
2021-02-26,16547,0
2021-03-01,16447,0
2021-03-02,16857,0
2021-03-03,16760,0
2021-03-04,16601,0
2021-03-05,16522,0
2021-03-08,16787,0
2021-03-09,16860,0
2021-03-10,17027,0
2021-03-11,17109,0
2021-03-12,17329,0
2021-03-15,17393,0
2021-03-16,17511,0
2021-03-17,17493,0
2021-03-18,17522,0
2021-03-19,17314,0
2021-03-22,17246,0
2021-03-23,17350,0
2021-03-24,17168,0
2021-03-25,17109,0
2021-03-26,17232,0
2021-03-29,17523,0
2021-03-30,17541,0
2021-03-31,17655,0
2021-04-01,17728,0
2021-04-02,17907,0
2021-04-05,17900,0
2021-04-06,18042,0
2021-04-07,18005,0
2021-04-08,18015,0
2021-04-09,18055,0
2021-04-12,18217,0
2021-04-13,18167,0
2021-04-14,18128,0
2021-04-15,18107,0
2021-04-16,18244,0
2021-04-19,18311,0
2021-04-20,18178,0
2021-04-21,17982,0
2021-04-22,18132,0
2021-04-23,18021,0
2021-04-26,18187,0
2021-04-27,18275,0
2021-04-28,18394,0
2021-04-30,18482,0
2021-05-06,18357,0
2021-05-07,18444,0
2021-05-10,18566,0
2021-05-11,18449,0
2021-05-12,18230,0
2021-05-13,18058,0
2021-05-14,18197,0
2021-05-17,18452,0
2021-05-18,18391,0
2021-05-19,18289,0
2021-05-20,18206,0
2021-05-21,18381,0
2021-05-24,18386,0
2021-05-25,18523,0
2021-05-26,18495,0
2021-05-27,18577,0
2021-05-28,18745,0
2021-05-31,18751,0
2021-06-01,18680,0
2021-06-02,18749,0
2021-06-03,18772,0
2021-06-04,18791,0
2021-06-07,18832,0
2021-06-08,18830,0
2021-06-09,18836,0
2021-06-10,18840,0
2021-06-11,18892,0
2021-06-14,18980,0
2021-06-15,19083,0
2021-06-16,19066,0
2021-06-17,19060,0
2021-06-18,18954,0
2021-06-21,18684,0
2021-06-22,18906,0
2021-06-23,19094,0
2021-06-24,19114,0
2021-06-25,19222,0
2021-06-28,19225,0
2021-06-29,19197,0
2021-06-30,19217,0
2021-07-01,19261,0
2021-07-02,19444,0
2021-07-05,19486,0
