date,nav,div
2022-12-06,21466,0
2022-12-07,21276,0
2022-12-08,21121,0
2022-12-09,21342,0
2022-12-12,21156,0
2022-12-13,21626,0
2022-12-14,21415,0
2022-12-15,21286,0
2022-12-16,21101,0
2022-12-19,20634,0
2022-12-20,20196,0
2022-12-21,19804,0
2022-12-22,20178,0
2022-12-23,19958,0
2022-12-26,20009,0
2022-12-27,20146,0
2022-12-28,20172,0
2022-12-29,19962,0
2022-12-30,20091,0
2023-01-04,19708,0
2023-01-05,20031,0
2023-01-06,20037,0
2023-01-10,20193,0
2023-01-11,20419,0
2023-01-12,20617,0
2023-01-13,20265,0
2023-01-16,20132,0
2023-01-17,20217,0
2023-01-18,20585,0
2023-01-19,19870,0
2023-01-20,19754,0
2023-01-23,20219,0
2023-01-24,20637,0
2023-01-25,20619,0
2023-01-26,20438,0
2023-01-27,20714,0
2023-01-30,20849,0
2023-01-31,20638,0
2023-02-01,20848,0
2023-02-02,20840,0
2023-02-03,21188,0
2023-02-06,21563,0
2023-02-07,21461,0
2023-02-08,21467,0
2023-02-09,21346,0
2023-02-10,21171,0
2023-02-13,21232,0
2023-02-14,21566,0
2023-02-15,21638,0
2023-02-16,21925,0
2023-02-17,21665,0
2023-02-20,21616,0
2023-02-21,21594,0
2023-02-22,21254,0
2023-02-24,21222,0
2023-02-27,21324,0
2023-02-28,21402,0
2023-03-01,21350,0
2023-03-02,21211,0
2023-03-03,21462,0
2023-03-06,21685,0
2023-03-07,21734,0
2023-03-08,21593,0
2023-03-09,21586,0
2023-03-10,21021,0
2023-03-13,20465,0
2023-03-14,20261,0
2023-03-15,20823,0
2023-03-16,20479,0
2023-03-17,20875,0
2023-03-20,20510,0
2023-03-22,20935,0
2023-03-23,20341,0
2023-03-24,20359,0
2023-03-27,20475,0
2023-03-28,20511,0
2023-03-29,20576,0
2023-03-30,21070,0
2023-03-31,21349,0
2023-04-03,21596,0
2023-04-04,21590,0
2023-04-05,21297,0
2023-04-06,21185,0
2023-04-07,21360,0
2023-04-10,21495,0
2023-04-11,21657,0
2023-04-12,21705,0
2023-04-13,21541,0
2023-04-14,21712,0
2023-04-17,21877,0
2023-04-18,22045,0
2023-04-19,22008,0
2023-04-20,22135,0
2023-04-21,21908,0
2023-04-24,21895,0
2023-04-25,21950,0
2023-04-26,21516,0
2023-04-27,21420,0
2023-04-28,21906,0
2023-05-01,22535,0
2023-05-02,22663,0
2023-05-08,22081,0
2023-05-09,22122,0
2023-05-10,21994,0
2023-05-11,21933,0
2023-05-12,21974,0
2023-05-15,22174,0
2023-05-16,22243,0
2023-05-17,22173,0
2023-05-18,22626,0
2023-05-19,22974,0
2023-05-22,22826,0
2023-05-23,22958,0
2023-05-24,22727,0
2023-05-25,22708,0
2023-05-26,22964,0
2023-05-29,23411,0
2023-05-30,23328,0
2023-05-31,23247,0
2023-06-01,23013,0
2023-06-02,23210,0
2023-06-05,23749,0
2023-06-06,23604,0
2023-06-07,23645,0
2023-06-08,23639,0
2023-06-09,23641,0
2023-06-12,23718,0
2023-06-13,23985,0
2023-06-14,24215,0
2023-06-15,24295,0
2023-06-16,24581,0
2023-06-19,24780,0
2023-06-20,24825,0
2023-06-21,24607,0
2023-06-22,24534,0
2023-06-23,24834,0
2023-06-26,24700,0
2023-06-27,24613,0
2023-06-28,24936,0
2023-06-29,25011,0
2023-06-30,25236,0
2023-07-03,25461,0
2023-07-04,25502,0
2023-07-05,25501,0
2023-07-06,25433,0
2023-07-07,25182,0
2023-07-10,24833,0
2023-07-11,24705,0
2023-07-12,24595,0
2023-07-13,24563,0
2023-07-14,24659,0
2023-07-18,24879,0
2023-07-19,25086,0
2023-07-20,25263,0
2023-07-21,25165,0
2023-07-24,25485,0
2023-07-25,25544,0
2023-07-26,25531,0
2023-07-27,25388,0
2023-07-28,25080,0
2023-07-31,25590,0
2023-08-01,25899,0
2023-08-02,25972,0
2023-08-03,25655,0
2023-08-04,25484,0
2023-08-07,25143,0
2023-08-08,25613,0
2023-08-09,25577,0
2023-08-10,25487,0
2023-08-14,25676,0
2023-08-15,25912,0
2023-08-16,25637,0
2023-08-17,25580,0
2023-08-18,25251,0
2023-08-21,25184,0
2023-08-22,25521,0
2023-08-23,25354,0
2023-08-24,25483,0
2023-08-25,25376,0
2023-08-28,25608,0
2023-08-29,25765,0
2023-08-30,26053,0
2023-08-31,26185,0
2023-09-01,26062,0
2023-09-04,26209,0
2023-09-05,26261,0
2023-09-06,26383,0
2023-09-07,26213,0
2023-09-08,25969,0
2023-09-11,25999,0
2023-09-12,26130,0
2023-09-13,26088,0
2023-09-14,26093,0
2023-09-15,26401,0
2023-09-19,26116,0
2023-09-20,26078,0
2023-09-21,25937,0
2023-09-22,25382,0
2023-09-25,25466,0
2023-09-26,25646,0
2023-09-27,25291,0
2023-09-28,25395,0
2023-09-29,25534,0
2023-10-02,25502,0
2023-10-03,25527,0
2023-10-04,25074,0
2023-10-05,25203,0
2023-10-06,25154,0
2023-10-10,25589,0
2023-10-11,25733,0
2023-10-12,25949,0
2023-10-13,25906,0
2023-10-16,25718,0
2023-10-17,25988,0
2023-10-18,26032,0
2023-10-19,25688,0
2023-10-20,25484,0
2023-10-23,25153,0
2023-10-24,25089,0
2023-10-25,25310,0
2023-10-26,24996,0
2023-10-27,24715,0
2023-10-30,24513,0
2023-10-31,24751,0
2023-11-01,25237,0
2023-11-02,25361,0
2023-11-06,25920,0
2023-11-07,26042,0
2023-11-08,26215,0
2023-11-09,26313,0
2023-11-10,26166,0
2023-11-13,26626,0
2023-11-14,26615,0
2023-11-15,26930,0
2023-11-16,27100,0
2023-11-17,27033,0
2023-11-20,26921,0
2023-11-21,26805,0
2023-11-22,26780,0
2023-11-24,27121,0
2023-11-27,27117,0
2023-11-28,26818,0
2023-11-29,26624,0
2023-11-30,26627,0
2023-12-01,26880,0
2023-12-04,26770,0
2023-12-05,26763,0
2023-12-06,26771,0
2023-12-07,26649,0
2023-12-08,26148,0
2023-12-11,26650,0
2023-12-12,26842,0
2023-12-13,26921,0
2023-12-14,26700,0
2023-12-15,26779,0
2023-12-18,26716,0
2023-12-19,26931,0
2023-12-20,27345,0
2023-12-21,26844,0
2023-12-22,26904,0
2023-12-25,26926,0
2023-12-26,26936,0
2023-12-27,27148,0
2023-12-28,27009,0
2023-12-29,27018,0
2024-01-04,26879,0
2024-01-05,27085,0
2024-01-09,27318,0
2024-01-10,27416,0
2024-01-11,27754,0
2024-01-12,27673,0
2024-01-15,27667,0
2024-01-16,27808,0
2024-01-17,27995,0
2024-01-18,27993,0
2024-01-19,28227,0
2024-01-22,28578,0
2024-01-23,28631,0
2024-01-24,28719,0
2024-01-25,28683,0
2024-01-26,28805,0
2024-01-29,28891,0
2024-01-30,28940,0
2024-01-31,28957,0
2024-02-01,28355,0
2024-02-02,28643,0
2024-02-05,29397,0
2024-02-06,29287,0
2024-02-07,29199,0
2024-02-08,29493,0
2024-02-09,29787,0
2024-02-13,29907,0
2024-02-14,29756,0
2024-02-15,30004,0
2024-02-16,30140,0
2024-02-19,29953,0
2024-02-20,30023,0
2024-02-21,29802,0
2024-02-22,29916,0
2024-02-26,30520,0
2024-02-27,30466,0
2024-02-28,30486,0
2024-02-29,30474,0
2024-03-01,30555,0
2024-03-04,30764,0
2024-03-05,30797,0
2024-03-06,30410,0
2024-03-07,30359,0
2024-03-08,30434,0
2024-03-11,30026,0
2024-03-12,30002,0
2024-03-13,30474,0
2024-03-14,30451,0
2024-03-15,30560,0
2024-03-18,30500,0
2024-03-19,30686,0
2024-03-21,31452,0
2024-03-22,31721,0
2024-03-25,31643,0
2024-03-26,31525,0
2024-03-27,31489,0
2024-03-28,31752,0
2024-03-29,31762,0
2024-04-01,31766,0
2024-04-02,31773,0
2024-04-03,31513,0
2024-04-04,31578,0
2024-04-05,31036,0
2024-04-08,31547,0
2024-04-09,31575,0
2024-04-10,31590,0
2024-04-11,31536,0
2024-04-12,31787,0
2024-04-15,31405,0
2024-04-16,31220,0
2024-04-17,31231,0
2024-04-18,30984,0
2024-04-19,30977,0
2024-04-22,30715,0
2024-04-23,30994,0
2024-04-24,31367,0
2024-04-25,31508,0
2024-04-26,31411,0
2024-04-30,32065,0
2024-05-01,31777,0
2024-05-02,31303,0
2024-05-07,31897,0
2024-05-08,32115,0
2024-05-09,32259,0
2024-05-10,32440,0
2024-05-13,32555,0
2024-05-14,32628,0
2024-05-15,32825,0
2024-05-16,32667,0
2024-05-17,32950,0
2024-05-20,33062,0
2024-05-21,33218,0
2024-05-22,33268,0
2024-05-23,33301,0
2024-05-24,33106,0
2024-05-27,33276,0
2024-05-28,33290,0
2024-05-29,33399,0
2024-05-30,33200,0
2024-05-31,32818,0
2024-06-03,33180,0
2024-06-04,33068,0
2024-06-05,32871,0
2024-06-06,33364,0
2024-06-07,33364,0
2024-06-10,33587,0
2024-06-11,33747,0
